Geolocation,Commodity,Date,Area_Harvested_in_Hectares,Commodity_Type
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-08-01,46900.34,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-09-01,46900.34,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-10-01,24739.00333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-11-01,24739.00333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-12-01,24739.00333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-01-01,34609.23666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-02-01,34609.23666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-03-01,34609.23666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-04-01,20063.463333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-05-01,20063.463333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-06-01,20063.463333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-07-01,46442.666666666664,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-08-01,46442.666666666664,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-09-01,46442.666666666664,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-10-01,23769.516666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-11-01,23769.516666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-12-01,23769.516666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-01-01,3749.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-02-01,3749.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-03-01,3749.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-04-01,2937.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-05-01,2937.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-06-01,2937.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-07-01,4353.666666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-08-01,4353.666666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-09-01,4353.666666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-10-01,4010.8733333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-11-01,4010.8733333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-12-01,4010.8733333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-01-01,3843.883333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-02-01,3843.883333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-03-01,3843.883333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-04-01,2468.1266666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-05-01,2468.1266666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-06-01,2468.1266666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-07-01,4645.333333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-08-01,4645.333333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-09-01,4645.333333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-10-01,4018.8733333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-11-01,4018.8733333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-12-01,4018.8733333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-01-01,6348.666666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-02-01,6348.666666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-03-01,6348.666666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-04-01,2842.15,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-05-01,2842.15,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-06-01,2842.15,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-07-01,4658.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-08-01,4658.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-09-01,4658.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-10-01,4011.5400000000004,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-11-01,4011.5400000000004,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-12-01,4011.5400000000004,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-01-01,6803.463333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-02-01,6803.463333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-03-01,6803.463333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-04-01,5845.633333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-05-01,5845.633333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-06-01,5845.633333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-07-01,6514.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-08-01,6514.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-09-01,6514.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-10-01,5695.666666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-11-01,5695.666666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-12-01,5695.666666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-01-01,6994.433333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-02-01,6994.433333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-03-01,6994.433333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-04-01,5510.5,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-05-01,5510.5,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-06-01,5510.5,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-07-01,6464.333333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-08-01,6464.333333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-09-01,6464.333333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-10-01,6617.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-11-01,6617.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-12-01,6617.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-01-01,24367.873333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-02-01,24367.873333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-03-01,24367.873333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-04-01,10638.4,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-05-01,10638.4,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-06-01,10638.4,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-07-01,23527.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-08-01,23527.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-09-01,23527.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-10-01,19245.54,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-11-01,19245.54,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-12-01,19245.54,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-01-01,24603.940000000002,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-02-01,24603.940000000002,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-03-01,24603.940000000002,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-04-01,10290.460000000001,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-05-01,10290.460000000001,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-06-01,10290.460000000001,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-07-01,24586.333333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-08-01,24586.333333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-09-01,24586.333333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-10-01,19444.54,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-11-01,19444.54,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-12-01,19444.54,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-01-01,24664.333333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-02-01,24664.333333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-03-01,24664.333333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-04-01,12584.61,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-05-01,12584.61,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-06-01,12584.61,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-07-01,24069.333333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-08-01,24069.333333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-09-01,24069.333333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-10-01,19340.873333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-11-01,19340.873333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-12-01,19340.873333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-01-01,25310.236666666668,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-02-01,25310.236666666668,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-03-01,25310.236666666668,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-04-01,14033.466666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-05-01,14033.466666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-06-01,14033.466666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-07-01,26546.816666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-08-01,26546.816666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-09-01,26546.816666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-10-01,20168.686666666665,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-11-01,20168.686666666665,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-12-01,20168.686666666665,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-01-01,25506.3,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-02-01,25506.3,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-03-01,25506.3,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-04-01,13509.4,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-05-01,13509.4,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-06-01,13509.4,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-07-01,26391.149999999998,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-08-01,26391.149999999998,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-09-01,26391.149999999998,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-10-01,21580.683333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-11-01,21580.683333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-12-01,21580.683333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-01-01,20618.873333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-02-01,20618.873333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-03-01,20618.873333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-04-01,7701.400000000001,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-05-01,7701.400000000001,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-06-01,7701.400000000001,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-07-01,19173.333333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-08-01,19173.333333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-09-01,19173.333333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-10-01,15234.666666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-11-01,15234.666666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-12-01,15234.666666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-01-01,20760.056666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-02-01,20760.056666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-03-01,20760.056666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-04-01,7822.333333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-05-01,7822.333333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-06-01,7822.333333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-07-01,19941.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-08-01,19941.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-09-01,19941.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-10-01,15425.666666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-11-01,15425.666666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-12-01,15425.666666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-01-01,18315.666666666668,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-02-01,18315.666666666668,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-03-01,18315.666666666668,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-04-01,9742.460000000001,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-05-01,9742.460000000001,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-06-01,9742.460000000001,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-07-01,19411.333333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-08-01,19411.333333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-09-01,19411.333333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-10-01,15329.333333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-11-01,15329.333333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-12-01,15329.333333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-01-01,18506.773333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-02-01,18506.773333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-03-01,18506.773333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-04-01,8187.833333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-05-01,8187.833333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-06-01,8187.833333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-07-01,20032.816666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-08-01,20032.816666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-09-01,20032.816666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-10-01,14473.019999999999,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-11-01,14473.019999999999,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-12-01,14473.019999999999,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-01-01,18511.866666666665,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-02-01,18511.866666666665,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-03-01,18511.866666666665,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-04-01,7998.900000000001,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-05-01,7998.900000000001,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-06-01,7998.900000000001,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-07-01,19926.816666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-08-01,19926.816666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-09-01,19926.816666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-10-01,14963.683333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-11-01,14963.683333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-12-01,14963.683333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-01-01,10942.333333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-02-01,10942.333333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-03-01,10942.333333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-04-01,9178.666666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-05-01,9178.666666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-06-01,9178.666666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-07-01,31185.35666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-08-01,31185.35666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-09-01,31185.35666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-10-01,10959.0,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-11-01,10959.0,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-12-01,10959.0,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-01-01,13725.65,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-02-01,13725.65,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-03-01,13725.65,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-04-01,12380.203333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-05-01,12380.203333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-06-01,12380.203333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-07-01,30907.63333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-08-01,30907.63333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-09-01,30907.63333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-10-01,16143.276666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-11-01,16143.276666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-12-01,16143.276666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-01-01,13728.333333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-02-01,13728.333333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-03-01,13728.333333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-04-01,12472.943333333335,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-05-01,12472.943333333335,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-06-01,12472.943333333335,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-07-01,30776.466666666664,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-08-01,30776.466666666664,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-09-01,30776.466666666664,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-10-01,16063.943333333335,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-11-01,16063.943333333335,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-12-01,16063.943333333335,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-01-01,13849.096666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-02-01,13849.096666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-03-01,13849.096666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-04-01,9363.383333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-05-01,9363.383333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-06-01,9363.383333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-07-01,25553.38333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-08-01,25553.38333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-09-01,25553.38333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-10-01,16546.536666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-11-01,16546.536666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-12-01,16546.536666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-01-01,13808.666666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-02-01,13808.666666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-03-01,13808.666666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-04-01,9037.383333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-05-01,9037.383333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-06-01,9037.383333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-07-01,25315.0,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-08-01,25315.0,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-09-01,25315.0,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-10-01,12555.973333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-11-01,12555.973333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-12-01,12555.973333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),yellow corn,2020-01-01,22919.0,corn
