Geolocation,Commodity,Date,Production_Volume_by_MetricTons,Commodity_Type
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-11-01,81556.76333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-12-01,81556.76333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-01-01,123615.54333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-02-01,123615.54333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-03-01,123615.54333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-04-01,63223.1,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-05-01,63223.1,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-06-01,63223.1,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-07-01,140017.87666666668,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-08-01,140017.87666666668,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-09-01,140017.87666666668,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-10-01,82519.42666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-11-01,82519.42666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2024-12-01,82519.42666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-01-01,14099.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-02-01,14099.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-03-01,14099.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-04-01,10422.026666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-05-01,10422.026666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-06-01,10422.026666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-07-01,20884.573333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-08-01,20884.573333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-09-01,20884.573333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-10-01,18140.5,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-11-01,18140.5,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2020-12-01,18140.5,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-01-01,21238.66,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-02-01,21238.66,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-03-01,21238.66,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-04-01,10638.266666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-05-01,10638.266666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-06-01,10638.266666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-07-01,21198.833333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-08-01,21198.833333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-09-01,21198.833333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-10-01,14260.356666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-11-01,14260.356666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2021-12-01,14260.356666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-01-01,27326.666666666668,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-02-01,27326.666666666668,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-03-01,27326.666666666668,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-04-01,11878.57,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-05-01,11878.57,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-06-01,11878.57,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-07-01,21989.126666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-08-01,21989.126666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-09-01,21989.126666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-10-01,14296.166666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-11-01,14296.166666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2022-12-01,14296.166666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-01-01,28136.539999999997,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-02-01,28136.539999999997,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-03-01,28136.539999999997,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-04-01,19947.19,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-05-01,19947.19,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-06-01,19947.19,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-07-01,27356.146666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-08-01,27356.146666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-09-01,27356.146666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-10-01,20767.670000000002,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-11-01,20767.670000000002,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2023-12-01,20767.670000000002,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-01-01,28401.296666666665,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-02-01,28401.296666666665,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-03-01,28401.296666666665,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-04-01,18295.576666666668,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-05-01,18295.576666666668,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-06-01,18295.576666666668,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-07-01,28914.88,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-08-01,28914.88,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-09-01,28914.88,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-10-01,24573.22,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-11-01,24573.22,rice
bangsamoro autonomous region in muslim mindanao (barmm),irrigated palay,2024-12-01,24573.22,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-01-01,65662.37333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-02-01,65662.37333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-03-01,65662.37333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-04-01,28981.23,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-05-01,28981.23,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-06-01,28981.23,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-07-01,82688.44333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-08-01,82688.44333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-09-01,82688.44333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-10-01,64365.74333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-11-01,64365.74333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2020-12-01,64365.74333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-01-01,103337.41666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-02-01,103337.41666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-03-01,103337.41666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-04-01,30207.26,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-05-01,30207.26,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-06-01,30207.26,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-07-01,84528.22666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-08-01,84528.22666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-09-01,84528.22666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-10-01,63578.299999999996,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-11-01,63578.299999999996,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2021-12-01,63578.299999999996,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-01-01,87562.18666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-02-01,87562.18666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-03-01,87562.18666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-04-01,39493.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-05-01,39493.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-06-01,39493.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-07-01,85517.67,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-08-01,85517.67,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-09-01,85517.67,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-10-01,62719.666666666664,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-11-01,62719.666666666664,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2022-12-01,62719.666666666664,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-01-01,88524.71666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-02-01,88524.71666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-03-01,88524.71666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-04-01,44656.99333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-05-01,44656.99333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-06-01,44656.99333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-07-01,99108.20333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-08-01,99108.20333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-09-01,99108.20333333332,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-10-01,66231.04666666668,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-11-01,66231.04666666668,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2023-12-01,66231.04666666668,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-01-01,89158.29,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-02-01,89158.29,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-03-01,89158.29,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-04-01,42112.12333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-05-01,42112.12333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-06-01,42112.12333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-07-01,101349.88,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-08-01,101349.88,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-09-01,101349.88,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-10-01,73035.43333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-11-01,73035.43333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),palay,2024-12-01,73035.43333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-01-01,51563.37333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-02-01,51563.37333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-03-01,51563.37333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-04-01,18559.203333333335,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-05-01,18559.203333333335,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-06-01,18559.203333333335,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-07-01,61803.869999999995,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-08-01,61803.869999999995,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-09-01,61803.869999999995,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-10-01,46225.24333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-11-01,46225.24333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2020-12-01,46225.24333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-01-01,82098.75666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-02-01,82098.75666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-03-01,82098.75666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-04-01,19568.993333333336,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-05-01,19568.993333333336,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-06-01,19568.993333333336,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-07-01,63329.39333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-08-01,63329.39333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-09-01,63329.39333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-10-01,49317.94333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-11-01,49317.94333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2021-12-01,49317.94333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-01-01,60235.52,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-02-01,60235.52,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-03-01,60235.52,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-04-01,27614.429999999997,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-05-01,27614.429999999997,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-06-01,27614.429999999997,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-07-01,63528.54666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-08-01,63528.54666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-09-01,63528.54666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-10-01,48423.5,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-11-01,48423.5,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2022-12-01,48423.5,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-01-01,60388.176666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-02-01,60388.176666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-03-01,60388.176666666666,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-04-01,24709.803333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-05-01,24709.803333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-06-01,24709.803333333333,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-07-01,71752.05666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-08-01,71752.05666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-09-01,71752.05666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-10-01,45463.37666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-11-01,45463.37666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2023-12-01,45463.37666666667,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-01-01,60756.99333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-02-01,60756.99333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-03-01,60756.99333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-04-01,23816.546666666665,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-05-01,23816.546666666665,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-06-01,23816.546666666665,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-07-01,72435.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-08-01,72435.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-09-01,72435.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-10-01,48462.21333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-11-01,48462.21333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),rainfed palay,2024-12-01,48462.21333333334,rice
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-01-01,30548.38,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-02-01,30548.38,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-03-01,30548.38,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-04-01,19605.29,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-05-01,19605.29,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-06-01,19605.29,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-07-01,77226.34666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-08-01,77226.34666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-09-01,77226.34666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-10-01,26586.0,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-11-01,26586.0,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2020-12-01,26586.0,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-01-01,42460.62,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-02-01,42460.62,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-03-01,42460.62,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-04-01,33425.46,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-05-01,33425.46,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-06-01,33425.46,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-07-01,76601.26,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-08-01,76601.26,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-09-01,76601.26,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-10-01,47648.06333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-11-01,47648.06333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2021-12-01,47648.06333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-01-01,44343.236666666664,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-02-01,44343.236666666664,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-03-01,44343.236666666664,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-04-01,35991.36666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-05-01,35991.36666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-06-01,35991.36666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-07-01,76853.19666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-08-01,76853.19666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-09-01,76853.19666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-10-01,46166.333333333336,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-11-01,46166.333333333336,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2022-12-01,46166.333333333336,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-01-01,42803.25,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-02-01,42803.25,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-03-01,42803.25,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-04-01,23882.89,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-05-01,23882.89,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-06-01,23882.89,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-07-01,57699.23333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-08-01,57699.23333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-09-01,57699.23333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-10-01,50494.083333333336,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-11-01,50494.083333333336,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2023-12-01,50494.083333333336,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-01-01,43499.32666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-02-01,43499.32666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-03-01,43499.32666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-04-01,22290.233333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-05-01,22290.233333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-06-01,22290.233333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-07-01,57572.526666666665,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-08-01,57572.526666666665,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-09-01,57572.526666666665,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-10-01,39790.806666666664,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-11-01,39790.806666666664,corn
bangsamoro autonomous region in muslim mindanao (barmm),white corn,2024-12-01,39790.806666666664,corn
bangsamoro autonomous region in muslim mindanao (barmm),yellow corn,2020-01-01,78838.86666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),yellow corn,2020-02-01,78838.86666666667,corn
