"Ecosystem/Croptype","Geolocation","2020 Quarter 1","2020 Quarter 2","2020 Quarter 3","2020 Quarter 4","2021 Quarter 1","2021 Quarter 2","2021 Quarter 3","2021 Quarter 4","2022 Quarter 1","2022 Quarter 2","2022 Quarter 3","2022 Quarter 4","2023 Quarter 1","2023 Quarter 2","2023 Quarter 3","2023 Quarter 4","2024 Quarter 1","2024 Quarter 2","2024 Quarter 3","2024 Quarter 4"
"Irrigated Palay","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)",11247.00,8811.00,13061.00,12032.62,11531.65,7404.38,13936.00,12056.62,19046.00,8526.45,13974.00,12034.62,20410.39,17536.90,19542.00,17087.00,20983.30,16531.50,19393.00,19851.00
"Rainfed Palay","..CORDILLERA ADMINISTRATIVE REGION (CAR)",10.00,1120.00,4106.00,16393.80,167.00,969.00,2345.14,17527.20,242.70,973.00,2869.12,13999.38,228.00,980.69,2725.37,13594.99,209.40,2304.25,2687.00,13764.99
"Rainfed Palay","..REGION I (ILOCOS REGION)",251.00,0.00,6205.00,117629.00,247.00,0.00,6355.00,117950.00,646.00,0.00,6772.00,116331.00,633.00,30.00,6974.17,117237.83,317.00,0.00,6863.00,118005.00
"Rainfed Palay","..REGION II (CAGAYAN VALLEY)",17929.00,19759.00,1661.00,23963.00,19545.00,20272.50,1084.85,27742.00,16174.24,18090.00,2065.00,35796.63,14946.83,26511.46,2440.50,35144.20,15744.56,25411.45,2144.00,35796.00
"Rainfed Palay","..REGION III (CENTRAL LUZON)",1006.00,200.00,6728.00,43674.00,1029.00,2050.00,5549.02,36075.00,975.00,306.00,5078.65,22836.00,803.00,251.00,4512.00,20649.51,231.89,198.55,3350.12,20751.41
"Rainfed Palay","..REGION IV-A (CALABARZON)",7776.25,6923.00,3378.68,11988.30,8189.00,6997.00,1846.00,13070.90,8256.00,7217.02,1811.00,9918.57,8217.00,7334.00,1838.00,8229.70,7694.00,3855.26,1520.00,6913.72
"Rainfed Palay","..MIMAROPA REGION",20864.00,6371.00,8440.00,55709.00,21108.00,8321.00,10064.00,58830.38,20325.00,9495.10,10464.12,60394.54,20919.76,10161.50,10925.90,51067.16,21441.98,8927.00,10139.00,51913.87
"Rainfed Palay","..REGION V (BICOL REGION)",26232.00,37370.00,11517.00,48201.53,24674.00,31033.36,10292.27,48298.61,29509.72,30914.50,10634.64,48948.82,29075.46,30670.69,10473.66,45980.26,29638.48,25444.56,9376.95,45325.41
"Rainfed Palay","..REGION VI (WESTERN VISAYAS)",108084.94,15130.00,109238.00,131775.00,110954.00,21280.00,128956.00,118496.00,112115.00,19284.69,133703.00,117049.74,113636.00,18874.00,113271.00,119771.00,116973.00,8767.50,40100.00,147631.00
"Rainfed Palay","..REGION VII (CENTRAL VISAYAS)",8197.00,3625.00,620.00,19589.00,10593.00,5058.00,970.00,17401.00,9806.00,3626.98,1437.11,16941.00,10086.00,5610.00,1258.00,17867.00,11509.00,5439.25,766.00,19262.00
"Rainfed Palay","..REGION VIII (EASTERN VISAYAS)",45662.00,43221.00,15844.00,35518.00,53436.00,22258.00,17858.99,32200.00,49480.00,23941.62,19271.15,32826.86,48947.00,23871.00,19351.00,30609.00,44666.04,20591.47,18242.83,28670.00
"Rainfed Palay","..REGION IX (ZAMBOANGA PENINSULA)",15858.00,6124.91,16729.00,29756.28,17072.00,5562.40,16975.40,28229.20,14419.65,5485.91,16807.75,30522.83,18164.58,4656.83,17565.00,27072.15,16902.82,3663.66,14572.89,29035.97
"Rainfed Palay","..REGION X (NORTHERN MINDANAO)",4067.00,2534.00,9830.00,6031.00,4329.00,2553.00,9905.00,5011.00,4278.00,2761.04,11009.00,5142.83,4353.00,2899.00,10747.00,6160.00,4366.00,3202.50,9990.00,8940.00
"Rainfed Palay","..REGION XI (DAVAO REGION)",2704.00,4025.00,3556.00,3451.00,3161.00,3690.00,3868.00,3504.00,3294.00,3644.00,3679.50,3502.00,2927.53,3635.09,3607.66,3582.00,2909.00,3542.00,3859.36,4193.38
"Rainfed Palay","..REGION XII (SOCCSKSARGEN)",19542.00,2545.00,21836.99,27930.99,20835.00,3010.99,23819.00,26936.00,20181.00,3079.14,23087.00,25896.00,19948.00,3317.99,22257.99,25392.00,20675.99,2260.99,22723.69,26159.99
"Rainfed Palay","..REGION XIII (CARAGA)",1923.00,34974.00,4883.00,17046.24,2234.00,35205.00,3548.00,18467.00,2414.00,37686.63,4087.33,23779.31,2724.00,32644.00,4212.00,25302.00,3139.00,34558.00,4142.00,25390.00
"Rainfed Palay","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)",61856.62,23104.20,57520.00,45704.00,62280.17,23467.00,59823.00,46277.00,54947.00,29227.38,58234.00,45988.00,55520.32,24563.50,60098.45,43419.06,55535.60,23996.70,59780.45,44891.05
"Palay","..CORDILLERA ADMINISTRATIVE REGION (CAR)",8269.18,26064.36,27214.61,41014.05,9177.00,28336.81,17752.74,46289.20,7372.32,28297.81,17322.02,44575.89,7384.38,28304.90,16427.77,44115.97,7363.05,27874.25,15813.54,42458.15
"Palay","..REGION I (ILOCOS REGION)",67837.00,34062.00,38606.00,267196.00,66467.00,38644.00,36656.00,267268.00,67228.24,36860.35,38877.00,264442.76,65911.40,36785.00,39444.84,268783.52,63933.71,36325.13,39119.51,269191.00
"Palay","..REGION II (CAGAYAN VALLEY)",128825.00,177175.00,71489.00,212228.00,131847.00,184166.50,81388.85,215719.00,126250.24,189016.00,89554.69,217237.38,131052.84,189102.86,99352.50,213220.20,153907.40,163663.45,93525.00,214474.37
"Palay","..REGION III (CENTRAL LUZON)",140386.45,186955.15,70014.38,313852.12,145508.27,186229.00,78590.72,317734.52,152792.19,187604.70,69978.27,294703.30,170126.00,184990.61,77941.31,259819.06,152466.12,179449.59,74806.37,266931.59
"Palay","..REGION IV-A (CALABARZON)",22831.64,32422.61,10829.26,40182.19,24857.33,32998.00,10794.35,41888.29,25064.00,32922.08,10255.00,37370.62,24568.38,34921.25,10289.00,38541.34,22131.60,31095.75,8428.42,27746.65
"Palay","..MIMAROPA REGION",66368.00,50412.00,29080.00,147380.60,69344.00,55827.00,32684.70,152274.68,68341.00,53756.86,33990.99,158576.44,67099.36,55215.69,35788.77,152081.05,65089.73,52455.49,32768.02,155944.70
"Palay","..REGION V (BICOL REGION)",68889.00,101297.00,55418.00,121024.99,72018.00,97457.58,54314.16,122219.82,74411.46,95137.19,55743.15,123556.22,73714.65,94233.91,55877.32,120181.33,75235.33,87829.92,53680.87,117060.10
"Palay","..REGION VI (WESTERN VISAYAS)",192334.94,38153.00,202584.00,223864.00,196570.00,49420.00,229514.00,201423.00,198953.00,45231.75,238463.00,198652.51,202370.00,41833.00,206526.00,215567.00,206268.00,28546.15,95011.00,242146.00
"Palay","..REGION VII (CENTRAL VISAYAS)",25828.00,14254.00,5449.00,44933.00,30337.00,16406.00,7040.00,41726.00,27025.00,11182.90,8000.98,43008.00,27015.00,18189.00,8716.00,43804.00,31400.00,16132.00,5529.00,47932.00
"Palay","..REGION VIII (EASTERN VISAYAS)",75600.00,83534.00,30390.00,72892.00,83522.21,52302.00,45199.10,66252.00,80214.00,50993.55,44401.86,68560.57,80299.00,50070.00,44689.00,66233.00,75824.04,44803.92,45357.83,63274.00
"Palay","..REGION IX (ZAMBOANGA PENINSULA)",41136.00,20601.36,46900.00,48989.23,48018.00,20340.61,46720.68,46821.25,41642.65,20458.43,50424.55,49843.04,50935.07,22823.21,51563.02,45245.35,46475.60,23904.81,47706.04,47207.68
"Palay","..REGION X (NORTHERN MINDANAO)",40231.00,33050.00,49176.00,44658.00,42640.00,30756.00,49921.00,42553.00,43444.07,31694.62,52813.00,45451.91,44058.00,31541.00,51831.00,46539.00,44513.64,32065.58,49596.00,50815.00
"Palay","..REGION XI (DAVAO REGION)",27465.70,21539.00,27246.00,26668.00,29120.48,22551.00,29162.10,27180.00,30941.00,22181.00,30617.69,26833.00,31969.51,21718.66,30388.17,26758.00,29579.08,23520.87,32512.49,26940.58
"Palay","..REGION XII (SOCCSKSARGEN)",111394.00,25565.98,97980.83,99745.99,116648.00,23805.97,110128.73,95893.00,113325.22,28246.66,103946.00,95306.00,110250.00,29579.98,102836.98,96022.00,109733.98,22732.03,103366.68,96395.98
"Palay","..REGION XIII (CARAGA)",7941.30,78838.00,18927.00,50366.75,8346.00,78315.00,9035.00,52182.00,9248.00,82038.63,15154.10,53078.29,13498.00,79455.00,15611.00,54426.00,14195.00,79669.00,15827.00,55209.00
"Palay","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)",73103.62,31915.20,70581.00,57736.62,73811.82,30871.38,73759.00,58333.62,73993.00,37753.83,72208.00,58022.62,75930.71,42100.40,79640.45,60506.06,76518.90,40528.20,79173.45,64742.05
"White Corn","..CORDILLERA ADMINISTRATIVE REGION (CAR)",1133.00,47.00,5135.00,56.00,1117.00,158.22,5128.00,96.00,1115.00,152.00,5125.96,55.76,1106.00,156.98,5116.00,32.00,1106.12,142.78,5113.00,119.81
"White Corn","..REGION I (ILOCOS REGION)",6299.00,2991.96,1296.00,1400.00,6404.00,3061.00,1121.00,1356.00,6239.00,3064.15,1065.97,1428.00,6073.67,2950.00,996.32,1316.65,5068.83,2719.00,1047.00,1361.00
"White Corn","..REGION II (CAGAYAN VALLEY)",2946.00,1986.00,2909.00,1707.00,2835.00,1696.32,1279.00,1841.00,1391.66,1906.50,1181.50,1345.12,1147.00,855.00,962.33,683.25,1140.26,789.50,1056.40,659.95
"White Corn","..REGION III (CENTRAL LUZON)",4068.21,3735.70,2295.09,1521.40,4665.00,3618.00,1564.92,1337.07,5025.00,3085.00,1445.09,1138.78,4615.21,2055.60,1016.27,723.90,3052.20,1579.43,1354.46,1047.02
"White Corn","..REGION IV-A (CALABARZON)",1858.65,2001.90,4979.69,4283.88,2346.00,1578.15,4686.45,4204.63,2827.00,1412.25,3958.00,3720.00,2549.00,1118.00,2927.23,3566.85,2123.25,316.85,2539.62,2227.38
"White Corn","..MIMAROPA REGION",810.00,1712.00,2462.00,1821.00,749.00,1259.00,2061.00,1112.00,874.00,1313.59,1516.00,1168.00,954.15,827.80,1046.70,1471.28,982.97,413.22,990.07,1267.86
"White Corn","..REGION V (BICOL REGION)",18912.00,6624.99,16646.00,7373.00,19439.00,6639.38,17380.39,7022.10,19146.28,6816.64,15890.14,6669.32,19363.95,6663.11,15742.27,6678.13,19155.28,6237.45,10340.00,8931.10
"White Corn","..REGION VI (WESTERN VISAYAS)",11724.00,6268.00,21549.00,8570.00,10636.00,6896.00,19684.00,8539.50,9806.00,6917.13,18972.00,8928.91,9910.80,7108.00,14263.00,8305.00,8789.00,4662.00,5396.49,5630.00
"White Corn","..REGION VII (CENTRAL VISAYAS)",19699.00,5546.00,77137.00,34177.00,21072.00,5396.00,67471.00,30954.00,17256.00,5478.99,66017.00,32974.00,17751.00,5591.00,68897.00,31636.00,18723.00,3870.00,58937.00,31492.00
"White Corn","..REGION VIII (EASTERN VISAYAS)",6374.00,14923.00,12638.00,14250.00,5305.00,12926.65,11600.00,11525.10,5804.45,12992.15,10120.26,10040.34,5766.00,11982.00,10105.00,9708.50,6619.00,10150.63,10156.00,9497.00
"White Corn","..REGION IX (ZAMBOANGA PENINSULA)",24211.03,9218.00,55363.26,19426.53,25730.00,8777.40,58415.00,21629.00,27683.38,11564.00,47229.19,22691.87,30376.00,9612.23,43619.20,21011.08,27928.84,8851.40,47949.77,21677.30
"White Corn","..REGION X (NORTHERN MINDANAO)",50082.25,11630.00,85056.00,51310.00,35141.04,15658.50,87133.20,51966.03,33571.65,17924.31,85932.00,51676.40,29931.00,15337.00,72834.00,51864.00,30002.00,14668.50,70139.10,49579.00
"White Corn","..REGION XI (DAVAO REGION)",31535.00,27472.00,38949.50,48259.90,32968.00,30834.00,38639.00,49045.00,32362.00,32027.00,39121.00,47659.00,32903.16,31682.95,39526.52,47709.98,32969.00,31128.91,36981.08,49829.00
"White Corn","..REGION XII (SOCCSKSARGEN)",31698.01,8483.49,37562.00,31119.00,27458.00,12657.00,37863.00,32618.00,26929.60,12090.98,32618.00,28509.40,27852.00,12136.00,33402.40,29394.00,24757.99,7427.99,33433.99,32220.99
"White Corn","..REGION XIII (CARAGA)",1914.00,5041.00,6878.00,11401.00,1558.00,2148.00,8137.00,11115.00,1741.60,1737.00,5042.00,6643.39,1469.00,3158.00,6728.00,6553.00,1456.00,2852.00,7194.00,6990.00
"White Corn","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)",32827.00,27536.00,93556.07,32877.00,41176.95,37140.61,92722.90,48429.83,41185.00,37418.83,92329.40,48191.83,41547.29,28090.15,76660.15,49639.61,41426.00,27112.15,75945.00,37667.92
"Yellow Corn","..CORDILLERA ADMINISTRATIVE REGION (CAR)",15821.00,12621.00,11746.00,16662.00,14010.00,13124.03,7746.01,18963.00,9521.00,14079.63,9018.74,14440.98,11732.49,11821.31,8004.19,13187.52,11518.40,10929.84,9801.62,12272.46
"Yellow Corn","..REGION I (ILOCOS REGION)",55621.00,25945.00,822.00,792.00,56071.00,25909.00,869.00,970.00,58592.00,25680.00,804.00,1250.00,57249.58,29271.00,682.00,1054.00,55446.79,29733.00,796.00,1004.00
"Yellow Corn","..REGION II (CAGAYAN VALLEY)",106924.00,102650.00,163297.00,46361.00,120833.00,95774.45,82809.00,125856.69,121078.20,100438.00,111121.50,101725.64,134704.96,89852.00,125416.83,86726.80,159905.50,61261.80,141718.50,73734.99
"Yellow Corn","..REGION III (CENTRAL LUZON)",19059.00,13789.00,1729.00,650.00,19961.00,16675.00,3186.00,786.93,18980.00,15915.00,3820.63,814.87,17938.00,16617.01,2215.68,949.10,17875.41,15229.87,1793.93,811.36
"Yellow Corn","..REGION IV-A (CALABARZON)",4507.00,1653.80,3512.00,4032.43,4024.00,2021.00,3482.40,2838.50,3795.00,1252.64,2735.00,3123.00,3351.00,1429.00,2096.30,2881.00,3090.50,1665.44,1842.50,2775.67
"Yellow Corn","..MIMAROPA REGION",10049.00,6603.00,4403.00,2552.00,9936.00,6383.00,3919.00,2812.00,10144.00,6682.22,5943.00,2978.00,10179.51,6795.30,5076.58,2510.92,9189.83,6751.90,4928.39,2445.00
"Yellow Corn","..REGION V (BICOL REGION)",8613.00,22715.00,15124.00,10977.00,10047.00,22848.00,14559.00,10995.00,9654.00,21945.00,14382.00,10470.43,9853.00,20679.00,13826.00,10144.00,9515.00,17427.90,14383.00,10414.00
"Yellow Corn","..REGION VI (WESTERN VISAYAS)",17800.00,6783.00,24122.00,12661.00,19654.00,7600.00,28890.00,12306.40,22179.64,6991.53,25690.00,12486.61,22528.90,7468.00,24429.00,10659.00,20377.00,5871.00,15369.15,8391.00
"Yellow Corn","..REGION VII (CENTRAL VISAYAS)",88.00,71.00,442.00,249.00,123.00,60.00,1689.00,228.00,111.00,228.00,990.00,463.00,245.00,66.00,1464.00,507.00,215.00,98.00,1484.00,1142.00
"Yellow Corn","..REGION VIII (EASTERN VISAYAS)",1012.00,915.00,1000.00,962.00,964.00,751.01,953.33,929.10,950.45,749.14,975.10,906.46,932.00,740.00,974.00,884.00,876.00,707.00,1015.00,881.00
"Yellow Corn","..REGION IX (ZAMBOANGA PENINSULA)",1575.50,635.00,3713.14,2243.35,3140.00,656.00,4593.50,3084.00,3937.00,1290.37,2453.00,2073.56,4913.93,890.59,5488.48,2359.05,4109.91,692.37,4442.50,2484.75
"Yellow Corn","..REGION X (NORTHERN MINDANAO)",52519.00,11119.00,53525.00,56644.00,53989.19,12249.00,51905.00,76823.00,51532.37,15188.26,53859.00,80537.98,56524.00,15049.00,66549.00,79844.00,57230.00,13853.10,67954.80,81562.50
"Yellow Corn","..REGION XI (DAVAO REGION)",6436.00,4559.00,7051.00,5055.99,6500.00,5301.00,6943.00,5065.00,7105.00,5805.00,7117.00,4816.00,6942.00,5549.98,6993.29,4967.00,6890.78,5447.13,6946.70,5093.01
"Yellow Corn","..REGION XII (SOCCSKSARGEN)",68319.00,22895.99,98661.00,89831.00,73443.00,29184.00,93442.00,90698.00,64927.00,28354.99,93713.00,91677.99,61990.00,28260.00,95332.69,94127.00,61019.99,19896.99,95621.99,91394.99
"Yellow Corn","..REGION XIII (CARAGA)",635.00,4688.00,5639.00,8354.00,213.00,2195.00,6886.00,8681.00,266.34,1762.00,3723.00,9422.51,572.00,2845.00,5971.00,9631.00,559.00,1312.00,6103.00,9695.00
"Yellow Corn","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)",68757.00,17998.24,58073.09,34245.51,54436.35,16654.03,42509.10,17859.42,55464.00,17724.20,42508.10,17852.42,61422.31,32272.74,64040.87,24577.40,62401.71,33078.24,63383.00,33640.63
"Corn","..CORDILLERA ADMINISTRATIVE REGION (CAR)",16954.00,12668.00,16881.00,16718.00,15127.00,13282.25,12874.01,19059.00,10636.00,14231.63,14144.71,14496.74,12838.49,11978.29,13120.19,13219.52,12624.52,11072.62,14914.62,12392.27
"Corn","..REGION I (ILOCOS REGION)",61920.00,28936.96,2118.00,2192.00,62475.00,28970.00,1990.00,2326.00,64831.00,28744.15,1869.97,2678.00,63323.25,32221.00,1678.32,2370.65,60515.63,32452.00,1843.00,2365.00
"Corn","..REGION II (CAGAYAN VALLEY)",109870.00,104636.00,166206.00,48068.00,123668.00,97470.77,84088.00,127697.69,122469.86,102344.50,112303.00,103070.76,135851.96,90707.00,126379.16,87410.05,161045.76,62051.30,142774.90,74394.94
"Corn","..REGION III (CENTRAL LUZON)",23127.21,17524.70,4024.09,2171.40,24626.00,20293.00,4750.92,2124.00,24005.00,19000.00,5265.72,1953.65,22553.21,18672.61,3231.95,1673.00,20927.61,16809.30,3148.39,1858.38
"Corn","..REGION IV-A (CALABARZON)",6365.65,3655.70,8491.69,8316.31,6370.00,3599.15,8168.85,7043.13,6622.00,2664.89,6693.00,6843.00,5900.00,2547.00,5023.53,6447.85,5213.75,1982.29,4382.12,5003.05
"Corn","..MIMAROPA REGION",10859.00,8315.00,6865.00,4373.00,10685.00,7642.00,5980.00,3924.00,11018.00,7995.81,7459.00,4146.00,11133.66,7623.10,6123.28,3982.20,10172.80,7165.12,5918.46,3712.86
"Corn","..REGION V (BICOL REGION)",27525.00,29339.99,31770.00,18350.00,29486.00,29487.38,31939.39,18017.10,28800.28,28761.64,30272.14,17139.74,29216.95,27342.11,29568.27,16822.13,28670.28,23665.35,24723.00,19345.10
"Corn","..REGION VI (WESTERN VISAYAS)",29524.00,13051.00,45671.00,21231.00,30290.00,14496.00,48574.00,20845.90,31985.64,13908.66,44662.00,21415.52,32439.70,14576.00,38692.00,18964.00,29166.00,10533.00,20765.64,14021.00
"Corn","..REGION VII (CENTRAL VISAYAS)",19787.00,5617.00,77579.00,34426.00,21195.00,5456.00,69160.00,31182.00,17367.00,5706.99,67007.00,33437.00,17996.00,5657.00,70361.00,32143.00,18938.00,3968.00,60421.00,32634.00
"Corn","..REGION VIII (EASTERN VISAYAS)",7386.00,15838.00,13638.00,15212.00,6269.00,13677.67,12553.33,12454.20,6754.90,13741.29,11095.35,10946.80,6698.00,12722.00,11079.00,10592.50,7495.00,10857.63,11171.00,10378.00
"Corn","..REGION IX (ZAMBOANGA PENINSULA)",25786.53,9853.00,59076.40,21669.88,28870.00,9433.40,63008.50,24713.00,31620.38,12854.37,49682.19,24765.43,35289.93,10502.83,49107.68,23370.13,32038.74,9543.77,52392.27,24162.05
"Corn","..REGION X (NORTHERN MINDANAO)",102601.25,22749.00,138581.00,107954.00,89130.23,27907.50,139038.20,128789.03,85104.02,33112.57,139791.00,132214.38,86455.00,30386.00,139383.00,131708.00,87232.00,28521.60,138093.90,131141.50
"Corn","..REGION XI (DAVAO REGION)",37971.00,32031.00,46000.50,53315.89,39468.00,36135.00,45582.00,54110.00,39467.00,37832.00,46238.00,52475.00,39845.16,37232.93,46519.81,52676.98,39859.78,36576.04,43927.78,54922.01
"Corn","..REGION XII (SOCCSKSARGEN)",100017.01,31379.48,136223.00,120950.00,100901.00,41841.00,131305.00,123316.00,91856.60,40445.97,126331.00,120187.39,89842.00,40396.00,128735.09,123521.00,85777.98,27324.98,129055.98,123615.98
"Corn","..REGION XIII (CARAGA)",2549.00,9729.00,12517.00,19755.00,1771.00,4343.00,15023.00,19796.00,2007.93,3499.00,8765.00,16065.90,2041.00,6003.00,12699.00,16184.00,2015.00,4164.00,13297.00,16685.00
"Corn","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)",101584.00,45534.24,151629.16,67122.51,95613.30,53794.64,135232.00,66289.25,96649.00,55143.03,134837.50,66044.25,102969.60,60362.89,140701.02,74217.01,103827.71,60190.39,139328.00,71308.55
