"Ecosystem/Croptype","Geolocation","2020 Quarter 1","2020 Quarter 2","2020 Quarter 3","2020 Quarter 4","2021 Quarter 1","2021 Quarter 2","2021 Quarter 3","2021 Quarter 4","2022 Quarter 1","2022 Quarter 2","2022 Quarter 3","2022 Quarter 4","2023 Quarter 1","2023 Quarter 2","2023 Quarter 3","2023 Quarter 4","2024 Quarter 1","2024 Quarter 2","2024 Quarter 3","2024 Quarter 4"
"Palay","..REGION IX (ZAMBOANGA PENINSULA)",162934.44,88184.35,199925.51,194362.74,201302.55,83550.62,198645.59,183856.09,171537.48,81449.41,208184.45,190525.19,208277.07,100641.56,222407.92,172537.76,188796.94,98110.93,210915.14,184421.80
"Palay","..REGION X (NORTHERN MINDANAO)",173067.75,146185.41,243948.50,218623.32,195506.80,139719.83,242013.00,216400.68,188240.51,146551.70,254495.19,225451.17,191210.70,147711.34,255468.02,229851.35,182457.20,138296.46,234284.34,259043.24
"Palay","..REGION XI (DAVAO REGION)",129152.81,90970.46,127280.89,119359.54,131310.68,91823.80,134802.21,126787.88,137710.63,87388.88,142804.82,122349.72,147256.13,92282.95,140064.73,123140.78,132661.15,96123.04,155189.23,124434.48
"Palay","..REGION XII (SOCCSKSARGEN)",395282.83,87128.21,407446.16,374259.50,410413.24,78230.97,460703.02,328840.87,378503.98,91484.88,430296.60,343992.43,397208.00,94441.98,407551.97,357203.95,386366.03,60311.98,410651.53,355395.60
"Palay","..REGION XIII (CARAGA)",26668.68,260120.60,61393.84,155147.76,25352.67,257059.83,28589.50,156741.50,27283.29,261220.44,50678.18,180999.12,42478.00,261567.00,53647.67,185738.35,47283.90,275122.00,56397.11,195289.71
"Palay","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)",196987.12,86943.69,248065.33,193097.23,310012.25,90621.78,253584.68,190734.90,262686.56,118479.00,256553.01,188159.00,265574.15,133970.98,297324.61,198693.14,267474.87,126336.37,304049.64,219106.30
"White Corn","..CORDILLERA ADMINISTRATIVE REGION (CAR)",2226.29,115.84,15546.42,138.92,2255.28,316.40,15477.51,324.54,2334.49,304.40,13669.08,163.75,2449.00,399.58,12348.81,111.00,2317.46,267.25,12969.18,346.40
"White Corn","..REGION I (ILOCOS REGION)",25503.00,11496.00,4508.00,5086.00,25865.99,12242.00,4140.00,4758.00,25439.09,12101.73,3975.10,5504.82,25401.25,11674.00,3533.26,5007.99,21101.85,10627.50,3943.75,5314.63
"White Corn","..REGION II (CAGAYAN VALLEY)",8836.80,5631.69,7885.97,4379.90,8887.98,4948.76,3271.24,4705.38,4470.40,5730.31,3198.39,3439.41,3807.24,2772.30,2385.09,1750.28,3387.78,2097.60,2967.65,1613.61
"White Corn","..REGION III (CENTRAL LUZON)",13342.26,13159.30,8383.00,4630.26,15426.03,11757.72,5253.46,3988.18,18096.45,11133.00,4979.71,3630.79,15911.82,7420.64,3230.68,2348.20,10211.40,5576.64,4372.00,3405.58
"White Corn","..REGION IV-A (CALABARZON)",3606.96,3583.35,10335.03,6162.98,3960.39,2948.21,9449.03,7224.95,5490.19,2480.70,8571.60,5480.43,4036.40,1762.84,5637.02,6993.46,3764.86,409.31,4726.01,3959.85
"White Corn","..MIMAROPA REGION",1786.40,4653.40,5337.20,3956.16,1746.68,3394.00,4699.75,2249.00,2055.80,3655.27,3355.44,2408.86,2269.85,1945.07,2345.05,3042.64,2205.87,1030.64,2219.64,2521.02
"White Corn","..REGION V (BICOL REGION)",20928.48,11470.85,26126.81,12142.00,21371.35,11491.09,26606.06,13109.28,21070.69,9774.08,23857.76,12631.26,20555.75,8779.60,24088.34,12492.33,20160.16,9273.47,17049.02,13758.47
"White Corn","..REGION VI (WESTERN VISAYAS)",22082.08,9742.28,43751.70,17209.49,20526.21,11060.02,39907.91,16667.31,17999.23,10437.55,37028.97,16933.79,19000.05,11258.16,28834.45,17590.25,16833.93,6218.50,9657.27,15430.16
"White Corn","..REGION VII (CENTRAL VISAYAS)",15860.95,4858.08,76491.00,27670.00,17070.00,4707.00,58137.00,21295.00,11562.00,4590.81,51918.20,24302.45,13421.68,4421.40,70168.50,25337.99,13563.46,2526.25,46255.48,23870.31
"White Corn","..REGION VIII (EASTERN VISAYAS)",8365.05,19647.22,18135.67,20234.10,6859.59,16817.32,17019.00,16268.25,7661.21,16440.88,14501.58,14171.35,7640.13,16359.70,15540.70,13894.25,9181.10,14446.93,15421.94,13681.25
"White Corn","..REGION IX (ZAMBOANGA PENINSULA)",27861.24,15401.21,75700.72,26552.41,33258.47,12981.19,81836.19,37011.46,39372.13,16524.81,65162.83,32203.32,41687.80,15344.57,60268.78,30270.29,38110.42,12001.71,65765.62,36581.67
"White Corn","..REGION X (NORTHERN MINDANAO)",111336.93,25936.60,240201.25,129905.16,95818.74,42030.32,243286.20,135900.48,87174.50,45199.79,239411.89,143155.52,81660.39,40576.79,191500.96,148427.50,82417.27,37502.29,184509.92,143727.20
"White Corn","..REGION XI (DAVAO REGION)",40080.02,32183.90,56935.16,66661.80,41052.26,40863.63,51629.76,67161.15,46163.94,42255.58,52135.54,63410.40,47224.93,44869.44,55107.53,71528.28,47557.31,43830.37,52845.38,76785.84
"White Corn","..REGION XII (SOCCSKSARGEN)",54761.00,15042.99,76213.50,61826.99,56027.99,20284.00,83314.99,64343.05,51559.70,19913.00,70442.44,56605.90,52511.00,18816.99,69557.34,57319.43,40087.00,9697.98,67767.98,70998.98
"White Corn","..REGION XIII (CARAGA)",5215.35,14614.52,20088.00,24075.75,3892.31,6819.57,19538.67,26741.64,4681.52,4438.90,12411.00,17868.75,4115.30,6503.88,20047.35,17450.39,4122.00,7899.00,21036.20,20323.00
"White Corn","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)",91645.14,58815.87,231679.04,79758.00,127381.86,100276.38,229803.78,142944.19,133029.71,107974.10,230559.59,138499.00,128409.75,71648.67,173097.70,151482.25,130497.98,66870.70,172717.58,119372.42
"Yellow Corn","..CORDILLERA ADMINISTRATIVE REGION (CAR)",63478.00,44244.00,49712.51,69088.49,39727.00,45028.75,31993.39,80943.60,38163.00,50885.28,33572.41,51698.44,39441.18,44523.01,25852.97,46645.99,34117.57,29509.73,39142.45,43026.98
"Yellow Corn","..REGION I (ILOCOS REGION)",351039.00,156680.00,4695.00,4381.00,351810.00,162055.00,4779.16,5609.00,368632.00,158138.00,4605.90,7359.00,361811.81,177292.60,3595.88,6090.00,350559.00,179913.00,4478.64,5800.00
"Yellow Corn","..REGION II (CAGAYAN VALLEY)",476452.00,443794.00,717206.37,197668.90,556691.52,432020.17,341269.80,539374.85,574917.24,464117.20,475578.06,428657.41,620780.93,431250.48,545254.93,355007.92,716921.80,261514.50,651617.98,316034.75
"Yellow Corn","..REGION III (CENTRAL LUZON)",128160.78,93585.42,10038.80,2975.00,134450.42,113391.25,20928.50,4658.47,127821.52,109541.91,25979.34,4838.24,123418.93,114099.91,13198.60,5740.70,108814.86,102608.96,10581.00,4736.77
"Yellow Corn","..REGION IV-A (CALABARZON)",13348.94,5961.97,17683.50,15078.37,12486.90,7571.10,13394.25,10110.40,13151.59,4574.45,10925.64,10177.84,11448.08,5571.00,8016.10,11501.62,11471.96,5048.55,6799.11,7778.20
"Yellow Corn","..MIMAROPA REGION",45438.50,32547.16,18761.18,8721.15,45209.55,31350.00,17231.49,9417.00,46490.14,32328.19,26135.53,10520.99,56905.08,30183.92,20371.50,8262.44,40649.75,28800.23,20683.63,7897.47
"Yellow Corn","..REGION V (BICOL REGION)",31099.79,80022.32,63041.32,37169.00,37190.85,81834.65,59267.00,41878.00,37156.00,82496.96,60390.65,41042.32,37125.70,78164.10,54165.59,39483.28,35565.41,65384.30,54803.94,34085.25
"Yellow Corn","..REGION VI (WESTERN VISAYAS)",64770.50,24472.10,94600.23,43751.48,76165.00,24882.40,117960.33,44264.49,94933.67,20731.77,101361.03,45034.63,90876.15,23381.42,100342.03,37866.24,84824.07,19190.02,67614.67,30547.46
"Yellow Corn","..REGION VII (CENTRAL VISAYAS)",252.30,237.00,1460.00,766.00,401.00,209.00,4994.00,501.00,329.00,667.00,2512.00,1274.91,611.00,160.35,4064.39,1370.00,649.85,189.85,3802.00,3466.53
"Yellow Corn","..REGION VIII (EASTERN VISAYAS)",1669.14,1613.70,1779.91,1678.04,1515.15,1362.32,1708.50,1658.44,1503.22,1272.73,1709.99,1600.23,1446.80,1239.88,1658.68,1538.20,1461.83,1177.21,1765.37,1572.26
"Yellow Corn","..REGION IX (ZAMBOANGA PENINSULA)",4025.79,2318.63,10723.93,6270.88,7540.24,2330.10,11956.27,8657.76,10779.46,3540.27,7062.82,5987.12,13301.23,2780.85,15908.02,7879.78,13887.15,2146.59,13379.52,8350.43
"Yellow Corn","..REGION X (NORTHERN MINDANAO)",209438.94,41493.22,275972.75,303880.36,220774.81,45051.30,267110.60,405058.00,211452.06,60035.41,275063.80,415708.92,233755.10,61410.84,345626.20,417931.20,249181.36,55328.58,344889.10,438820.68
"Yellow Corn","..REGION XI (DAVAO REGION)",17220.40,12441.27,22278.32,14122.29,17117.08,13954.08,20422.92,14693.16,20587.49,15478.26,20597.47,13760.08,21958.45,14668.90,20718.95,14783.57,18622.78,15602.86,18160.79,15620.72
"Yellow Corn","..REGION XII (SOCCSKSARGEN)",196872.00,62703.99,360566.99,280984.99,225351.00,76057.34,297651.99,282208.49,185159.29,83896.00,297354.18,287280.00,198357.99,83019.73,296133.00,286176.65,177494.00,48678.99,300319.99,287473.10
"Yellow Corn","..REGION XIII (CARAGA)",2820.28,23755.54,26422.68,40646.99,838.83,10641.99,31961.95,41213.88,1061.50,7759.44,16250.10,45040.51,2611.10,8992.10,27920.85,46830.31,2543.00,5866.00,28931.00,47894.20
"Yellow Corn","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)",236516.60,80339.50,225112.92,134994.33,237661.12,72197.95,156133.11,70912.34,231092.74,76223.28,155248.20,69661.00,235264.96,132624.52,246449.05,93188.04,240348.65,122798.60,247336.05,128185.86
"Corn","..CORDILLERA ADMINISTRATIVE REGION (CAR)",65704.29,44359.84,65258.93,69227.41,41982.28,45345.15,47470.90,81268.14,40497.49,51189.68,47241.49,51862.19,41890.18,44922.59,38201.78,46756.99,36435.03,29776.98,52111.63,43373.38
"Corn","..REGION I (ILOCOS REGION)",376542.00,168176.00,9203.00,9467.00,377675.99,174297.00,8919.16,10367.00,394071.09,170239.73,8581.00,12863.82,387213.06,188966.60,7129.14,11097.99,371660.85,190540.50,8422.39,11114.63
"Corn","..REGION II (CAGAYAN VALLEY)",485288.80,449425.69,725092.34,202048.80,565579.50,436968.93,344541.04,544080.23,579387.64,469847.51,478776.45,432096.82,624588.17,434022.78,547640.02,356758.20,720309.58,263612.10,654585.63,317648.36
"Corn","..REGION III (CENTRAL LUZON)",141503.04,106744.72,18421.80,7605.26,149876.45,125148.97,26181.96,8646.64,145917.97,120674.91,30959.05,8469.03,139330.75,121520.55,16429.28,8088.90,119026.25,108185.60,14953.00,8142.35
"Corn","..REGION IV-A (CALABARZON)",16955.90,9545.32,28018.53,21241.35,16447.29,10519.31,22843.28,17335.35,18641.78,7055.15,19497.24,15658.27,15484.48,7333.84,13653.12,18495.08,15236.82,5457.86,11525.12,11738.05
"Corn","..MIMAROPA REGION",47224.90,37200.56,24098.38,12677.31,46956.23,34744.00,21931.24,11666.00,48545.94,35983.46,29490.97,12929.85,59174.93,32128.99,22716.55,11305.08,42855.63,29830.87,22903.28,10418.49
"Corn","..REGION V (BICOL REGION)",52028.27,91493.17,89168.13,49311.00,58562.20,93325.74,85873.06,54987.28,58226.69,92271.04,84248.41,53673.58,57681.45,86943.70,78253.93,51975.61,55725.57,74657.77,71852.96,47843.72
"Corn","..REGION VI (WESTERN VISAYAS)",86852.58,34214.38,138351.93,60960.97,96691.21,35942.42,157868.24,60931.80,112932.90,31169.32,138390.00,61968.42,109876.20,34639.58,129176.48,55456.49,101658.00,25408.52,77271.94,45977.62
"Corn","..REGION VII (CENTRAL VISAYAS)",16113.25,5095.08,77951.00,28436.00,17471.00,4916.00,63131.00,21796.00,11891.00,5257.81,54430.20,25577.36,14032.68,4581.75,74232.89,26707.99,14213.31,2716.10,50057.48,27336.84
"Corn","..REGION VIII (EASTERN VISAYAS)",10034.19,21260.92,19915.58,21912.14,8374.74,18179.64,18727.50,17926.69,9164.43,17713.61,16211.56,15771.59,9086.93,17599.58,17199.38,15432.45,10642.93,15624.14,17187.31,15253.51
"Corn","..REGION IX (ZAMBOANGA PENINSULA)",31887.03,17719.84,86424.65,32823.29,40798.71,15311.29,93792.46,45669.22,50151.59,20065.08,72225.65,38190.43,54989.02,18125.42,76176.80,38150.07,51997.57,14148.29,79145.14,44932.11
"Corn","..REGION X (NORTHERN MINDANAO)",320775.87,67429.82,516174.00,433785.52,316593.55,87081.62,510396.80,540958.48,298626.56,105235.20,514475.69,558864.44,315415.49,101987.63,537127.16,566358.70,331598.63,92830.87,529399.02,582547.88
"Corn","..REGION XI (DAVAO REGION)",57300.42,44625.16,79213.48,80784.08,58169.34,54817.71,72052.68,81854.31,66751.43,57733.84,72733.01,77170.48,69183.38,59538.34,75826.48,86311.85,66180.09,59433.24,71006.17,92406.56
"Corn","..REGION XII (SOCCSKSARGEN)",251633.00,77746.98,436780.49,342811.98,281378.99,96341.34,380966.98,346551.54,236718.99,103809.00,367796.62,343885.90,250868.99,101836.72,365690.34,343496.08,217581.00,58376.97,368087.97,358472.08
"Corn","..REGION XIII (CARAGA)",8035.63,38370.06,46510.68,64722.74,4731.14,17461.56,51500.62,67955.52,5743.01,12198.34,28661.10,62909.26,6726.40,15495.98,47968.20,64280.70,6665.00,13765.00,49967.20,68217.20
"Corn","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)",328161.74,139155.37,456791.96,214752.33,365042.98,172474.33,385936.89,213856.52,364122.45,184197.38,385807.79,208160.00,363674.71,204273.19,419546.75,244670.29,370846.63,189669.30,420053.63,247558.28
